idhod,hodnota,vuk,vuk_text,stapro_kod,vuzemi_cis,vuzemi_kod,rok,casref_od,casref_do,vuzemi_txt
967523951,1246,DEM0007,Živě narození,4355,101,40517,2021,2021-01-01,2021-12-31,Ústí nad Labem
967523979,1809,DEM0007,Živě narození,4355,101,40568,2021,2021-01-01,2021-12-31,Hradec Králové
967545397,1077,DEM0007,Živě narození,4355,101,40797,2021,2021-01-01,2021-12-31,Prostějov
967545408,1057,DEM0007,Živě narození,4355,101,40827,2021,2021-01-01,2021-12-31,Kroměříž
967545412,1515,DEM0007,Živě narození,4355,101,40835,2021,2021-01-01,2021-12-31,Uherské Hradiště
967545416,1474,DEM0007,Živě narození,4355,101,40843,2021,2021-01-01,2021-12-31,Vsetín
967523990,807,DEM0007,Živě narození,4355,101,40592,2021,2021-01-01,2021-12-31,Rychnov nad Kněžnou
967523998,5421,DEM0007,Živě narození,4355,100,3093,2021,2021-01-01,2021-12-31,Pardubický kraj
967545117,1056,DEM0007,Živě narození,4355,101,40169,2021,2021-01-01,2021-12-31,Benešov
967524003,1108,DEM0007,Živě narození,4355,101,40614,2021,2021-01-01,2021-12-31,Chrudim
967502545,1177,DEM0007,Živě narození,4355,101,40681,2021,2021-01-01,2021-12-31,Třebíč
967502551,1366,DEM0007,Živě narození,4355,101,40690,2021,2021-01-01,2021-12-31,Žďár nad Sázavou
967502560,4413,DEM0007,Živě narození,4355,101,40711,2021,2021-01-01,2021-12-31,Brno-město
967523762,111793,DEM0007,Živě narození,4355,97,19,2021,2021-01-01,2021-12-31,Česká republika
967545331,1834,DEM0007,Živě narození,4355,101,40622,2021,2021-01-01,2021-12-31,Pardubice
967502584,6394,DEM0007,Živě narození,4355,100,3123,2021,2021-01-01,2021-12-31,Olomoucký kraj
967545184,907,DEM0007,Živě narození,4355,101,40304,2021,2021-01-01,2021-12-31,Jindřichův Hradec
967545194,701,DEM0007,Živě narození,4355,101,40339,2021,2021-01-01,2021-12-31,Strakonice
967545211,773,DEM0007,Živě narození,4355,101,40363,2021,2021-01-01,2021-12-31,Klatovy
967545220,463,DEM0007,Živě narození,4355,101,40401,2021,2021-01-01,2021-12-31,Rokycany
967502594,2571,DEM0007,Živě narození,4355,101,40789,2021,2021-01-01,2021-12-31,Olomouc
967502603,1140,DEM0007,Živě narození,4355,101,40819,2021,2021-01-01,2021-12-31,Šumperk
967502610,6040,DEM0007,Živě narození,4355,100,3131,2021,2021-01-01,2021-12-31,Zlínský kraj
967524119,11978,DEM0007,Živě narození,4355,100,3140,2021,2021-01-01,2021-12-31,Moravskoslezský kraj
967502323,15157,DEM0007,Živě narození,4355,100,3018,2021,2021-01-01,2021-12-31,Hlavní město Praha
967502344,826,DEM0007,Živě narození,4355,101,40207,2021,2021-01-01,2021-12-31,Kutná Hora
967502351,1415,DEM0007,Živě narození,4355,101,40223,2021,2021-01-01,2021-12-31,Mladá Boleslav
967502358,2149,DEM0007,Živě narození,4355,101,40240,2021,2021-01-01,2021-12-31,Praha-východ
967523855,540,DEM0007,Živě narození,4355,101,40321,2021,2021-01-01,2021-12-31,Prachatice
967523873,1988,DEM0007,Živě narození,4355,101,40371,2021,2021-01-01,2021-12-31,Plzeň-město
967545248,7886,DEM0007,Živě narození,4355,100,3069,2021,2021-01-01,2021-12-31,Ústecký kraj
967545279,4386,DEM0007,Živě narození,4355,100,3077,2021,2021-01-01,2021-12-31,Liberecký kraj
967545438,1557,DEM0007,Živě narození,4355,101,40894,2021,2021-01-01,2021-12-31,Nový Jičín
967502637,2206,DEM0007,Živě narození,4355,101,40878,2021,2021-01-01,2021-12-31,Frýdek-Místek
967502640,2290,DEM0007,Živě narození,4355,101,40886,2021,2021-01-01,2021-12-31,Karviná
967502379,581,DEM0007,Živě narození,4355,101,40291,2021,2021-01-01,2021-12-31,Český Krumlov
967523877,690,DEM0007,Živě narození,4355,101,40380,2021,2021-01-01,2021-12-31,Plzeň-jih
967523882,864,DEM0007,Živě narození,4355,101,40398,2021,2021-01-01,2021-12-31,Plzeň-sever
967545145,1122,DEM0007,Živě narození,4355,101,40231,2021,2021-01-01,2021-12-31,Nymburk
967502402,576,DEM0007,Živě narození,4355,101,40355,2021,2021-01-01,2021-12-31,Domažlice
967523919,1171,DEM0007,Živě narození,4355,101,40452,2021,2021-01-01,2021-12-31,Děčín
967545373,1235,DEM0007,Živě narození,4355,101,40738,2021,2021-01-01,2021-12-31,Břeclav
967459665,6699,DEM0007,Živě narození,4355,100,3034,2021,2021-01-01,2021-12-31,Jihočeský kraj
967438415,335,DEM0007,Živě narození,4355,101,40771,2021,2021-01-01,2021-12-31,Jeseník
967438431,1271,DEM0007,Živě narození,4355,101,40801,2021,2021-01-01,2021-12-31,Přerov
967459929,3197,DEM0007,Živě narození,4355,101,40916,2021,2021-01-01,2021-12-31,Ostrava-město
967438465,862,DEM0007,Živě narození,4355,101,40860,2021,2021-01-01,2021-12-31,Bruntál
967480874,1667,DEM0007,Živě narození,4355,101,40185,2021,2021-01-01,2021-12-31,Kladno
967438185,1091,DEM0007,Živě narození,4355,101,40177,2021,2021-01-01,2021-12-31,Beroun
967438211,556,DEM0007,Živě narození,4355,101,40274,2021,2021-01-01,2021-12-31,Rakovník
967459724,1017,DEM0007,Živě narození,4355,101,40436,2021,2021-01-01,2021-12-31,Karlovy Vary
967438223,2183,DEM0007,Živě narození,4355,101,40282,2021,2021-01-01,2021-12-31,České Budějovice
967438233,716,DEM0007,Živě narození,4355,101,40312,2021,2021-01-01,2021-12-31,Písek
967480943,1071,DEM0007,Živě narození,4355,101,40347,2021,2021-01-01,2021-12-31,Tábor
967480977,2619,DEM0007,Živě narození,4355,100,3051,2021,2021-01-01,2021-12-31,Karlovarský kraj
967480980,771,DEM0007,Živě narození,4355,101,40428,2021,2021-01-01,2021-12-31,Cheb
967459768,828,DEM0007,Živě narození,4355,101,40533,2021,2021-01-01,2021-12-31,Jablonec nad Nisou
967438297,874,DEM0007,Živě narození,4355,101,40487,2021,2021-01-01,2021-12-31,Louny
967438301,1003,DEM0007,Živě narození,4355,101,40495,2021,2021-01-01,2021-12-31,Most
967438307,1244,DEM0007,Živě narození,4355,101,40509,2021,2021-01-01,2021-12-31,Teplice
967438318,1033,DEM0007,Živě narození,4355,101,40525,2021,2021-01-01,2021-12-31,Česká Lípa
967438325,1811,DEM0007,Živě narození,4355,101,40541,2021,2021-01-01,2021-12-31,Liberec
967438328,5537,DEM0007,Živě narození,4355,100,3085,2021,2021-01-01,2021-12-31,Královéhradecký kraj
967459828,720,DEM0007,Živě narození,4355,101,40673,2021,2021-01-01,2021-12-31,Pelhřimov
967459839,1170,DEM0007,Živě narození,4355,101,40703,2021,2021-01-01,2021-12-31,Blansko
967438339,1054,DEM0007,Živě narození,4355,101,40584,2021,2021-01-01,2021-12-31,Náchod
967459844,2529,DEM0007,Živě narození,4355,101,40720,2021,2021-01-01,2021-12-31,Brno-venkov
967481059,1016,DEM0007,Živě narození,4355,101,40606,2021,2021-01-01,2021-12-31,Trutnov
967438365,1402,DEM0007,Živě narození,4355,101,40649,2021,2021-01-01,2021-12-31,Ústí nad Orlicí
967438406,1507,DEM0007,Živě narození,4355,101,40746,2021,2021-01-01,2021-12-31,Hodonín
967459620,15111,DEM0007,Živě narození,4355,100,3026,2021,2021-01-01,2021-12-31,Středočeský kraj
967566755,5547,DEM0007,Živě narození,4355,100,3107,2021,2021-01-01,2021-12-31,Kraj Vysočina
967566776,13085,DEM0007,Živě narození,4355,100,3115,2021,2021-01-01,2021-12-31,Jihomoravský kraj
967588264,1005,DEM0007,Živě narození,4355,101,40657,2021,2021-01-01,2021-12-31,Havlíčkův Brod
967566551,1113,DEM0007,Živě narození,4355,101,40193,2021,2021-01-01,2021-12-31,Kolín
967588273,1279,DEM0007,Živě narození,4355,101,40665,2021,2021-01-01,2021-12-31,Jihlava
967588312,1046,DEM0007,Živě narození,4355,101,40754,2021,2021-01-01,2021-12-31,Vyškov
967588318,1185,DEM0007,Živě narození,4355,101,40762,2021,2021-01-01,2021-12-31,Znojmo
967566843,1994,DEM0007,Živě narození,4355,101,40851,2021,2021-01-01,2021-12-31,Zlín
967566876,1866,DEM0007,Živě narození,4355,101,40908,2021,2021-01-01,2021-12-31,Opava
967566571,1626,DEM0007,Živě narození,4355,101,40258,2021,2021-01-01,2021-12-31,Praha-západ
967566637,579,DEM0007,Živě narození,4355,101,40410,2021,2021-01-01,2021-12-31,Tachov
967566670,1185,DEM0007,Živě narození,4355,101,40461,2021,2021-01-01,2021-12-31,Chomutov
967588076,1265,DEM0007,Živě narození,4355,101,40215,2021,2021-01-01,2021-12-31,Mělník
967588094,1225,DEM0007,Živě narození,4355,101,40266,2021,2021-01-01,2021-12-31,Příbram
967588129,5933,DEM0007,Živě narození,4355,100,3042,2021,2021-01-01,2021-12-31,Plzeňský kraj
967566707,714,DEM0007,Živě narození,4355,101,40550,2021,2021-01-01,2021-12-31,Semily
967566718,851,DEM0007,Živě narození,4355,101,40576,2021,2021-01-01,2021-12-31,Jičín
967566743,1077,DEM0007,Živě narození,4355,101,40631,2021,2021-01-01,2021-12-31,Svitavy
967588171,831,DEM0007,Živě narození,4355,101,40444,2021,2021-01-01,2021-12-31,Sokolov
967588187,1163,DEM0007,Živě narození,4355,101,40479,2021,2021-01-01,2021-12-31,Litoměřice
